,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
281,17020,280958,342,video_vp9,svc,0,0,28000.0,2000.0,7.142857142857142,0.0,11.530132,0.1596999999999999,0.266516,0.0,27.996,3.841859999999998,0,11.821016,212,0,213,0
281,25240,365076,343,video_vp9,svc,0,1,28000.0,1999.0,7.139285714285714,0.0,23.982745,0.211021,0.389491,0.263,27.981,2.0675370000000006,0,24.415632,415,1,416,1
281,26898,532962,344,video_vp9,svc,0,2,28000.0,800.0,2.857142857142857,0.0,16.877050999999998,0.224538,0.593722,0.219,28.043,1.3165829999999945,0,17.553946,811,10,820,1
281,21250,791012,345,video_vp9,svc,1,0,28000.0,0.0,0.0,0.0,5.992081,0.280103,0.559206,10.705,28.017,33.769130999999994,0,6.571422999999999,175,140,236,4
281,26506,993746,346,video_vp9,svc,1,1,28000.0,0.0,0.0,0.0,13.812564,0.3240909999999999,0.863688,11.435,27.982,32.526145999999926,0,14.708267,271,291,393,7
281,28043,1531767,347,video_vp9,svc,1,2,28000.0,0.0,0.0,0.0,9.65689,0.364544,0.85691,16.246,26.085,49.54496500000003,0,10.54318,246,799,573,7
281,28695,1531821,348,video_vp9,svc,2,0,28000.0,0.0,0.0,0.0,32.987088,0.569649,1.124144,11.784,27.435,31.61682300000017,0,33.808474,425,592,676,9
281,29696,2006193,349,video_vp9,svc,2,1,28000.0,0.0,0.0,0.0,10.663152,0.3960059999999999,0.960703,16.315,27.297,38.12887500000006,0,11.440889,250,536,483,12
281,27303,1431657,35,video_vp9,simulcast,2,2,28000.0,0.0,0.0,0.0,9.966214,1.4193829999999998,1.801844,4.701,28.028,5.470879999999993,0,11.82902,549,49,551,7
281,30062,2445655,350,video_vp9,svc,2,2,28000.0,0.0,0.0,0.0,12.14876,0.4793409999999999,1.00604,14.725,27.978,37.67021400000007,0,13.070082,265,652,595,10
281,15675,394010,351,video_vp9,simulcast,0,0,28000.0,11865.660888671875,42.37736031668527,8934.339111328125,0.399163,0.2257479999999999,0.2549,14.045,26.095,42.176411,0,0.664283,96,59,96,5
281,23769,561259,352,video_vp9,simulcast,0,1,28000.0,10935.1689453125,39.054174804687506,2864.8310546875,1.4422549999999998,0.2750789999999999,0.518863,9.146,26.181,29.920623,0,1.986689,217,120,217,3
